trainer_stats = trainer.train()
Step	Training Loss
652	0.037000
653	0.036400
654	0.033500
655	0.038800
656	0.037800
657	0.037700
658	0.036800
659	0.036200
660	0.038600
661	0.038500
662	0.036100
663	0.040800
664	0.035200
665	0.037300
666	0.036100
667	0.033900
668	0.037000
669	0.040100
670	0.035700
671	0.039200
672	0.035500
673	0.032400
674	0.036400
675	0.035100
676	0.036100
677	0.037000
678	0.037100
679	0.039900
680	0.037200
681	0.035200
682	0.034000
683	0.037000
684	0.034000
685	0.033200
686	0.035800
687	0.036500
688	0.036400
689	0.035300
690	0.035600
691	0.034200
692	0.038400
693	0.036500
694	0.038100
695	0.037300
696	0.037900
697	0.035900
698	0.034600
699	0.036900
700	0.034100
701	0.033500
702	0.034900
703	0.037300
704	0.033800
705	0.033900
706	0.035900
707	0.034400
708	0.038000
709	0.037800
710	0.037700
711	0.040200
712	0.036700
713	0.040900
714	0.034000
715	0.035800
716	0.037200
717	0.038100
718	0.035700
719	0.034300
720	0.034800
721	0.036300
722	0.037100
723	0.036000
724	0.036300
725	0.035500
726	0.036500
727	0.034200
728	0.035700
729	0.037500
730	0.037500
731	0.032400
732	0.036800
733	0.032900
734	0.036400
735	0.036500
736	0.037000
737	0.034100
738	0.033900
739	0.035300
740	0.035600
741	0.036000
742	0.035900
743	0.038200
744	0.039700
745	0.035800
746	0.037600
747	0.032600
748	0.039400
749	0.036800
750	0.034200
751	0.033600
752	0.034800
753	0.037300
754	0.035300
755	0.035300
756	0.033800
757	0.035500
758	0.038700
759	0.037300
760	0.034200
761	0.037000
762	0.039000
763	0.037100
764	0.036000
765	0.037000
766	0.035900
767	0.037000
768	0.035800
769	0.036200
770	0.036000
771	0.035600
772	0.032700
773	0.034900
774	0.037700
775	0.035300
776	0.034800
777	0.036300
778	0.038300
779	0.036800
780	0.037400
781	0.033700
782	0.035900
783	0.034000
784	0.037100
785	0.034100
786	0.035900
787	0.034400
788	0.033300
789	0.035000
790	0.037800
791	0.036200
792	0.036600
793	0.035600
794	0.034500
795	0.035000
796	0.038500
797	0.034600
798	0.037300
799	0.033700
800	0.037500
801	0.033700
802	0.032700
803	0.036200
804	0.035100
805	0.034500
806	0.034600
807	0.036700
808	0.037300
809	0.035800
810	0.034400
811	0.033800
812	0.036900
813	0.036600
814	0.034300
815	0.040200
816	0.032300
817	0.034400
818	0.036400
819	0.032200
820	0.033200
821	0.034800
822	0.034500
823	0.035100
824	0.036300
825	0.038600
826	0.036300
827	0.035400
828	0.035600
829	0.038000
830	0.036100
831	0.035100
832	0.034500
833	0.036000
834	0.033600
835	0.035900
836	0.034800
837	0.032100
838	0.034600
839	0.036300
840	0.035500
841	0.034500
842	0.035900
843	0.034600
844	0.036800
845	0.035000
846	0.038300
847	0.035000
848	0.035600
849	0.034400
850	0.036500
851	0.034500
852	0.034700
853	0.034400
854	0.035600
855	0.035000
856	0.035800
857	0.036300
858	0.035000
859	0.033000
860	0.035900
861	0.034800
862	0.035800
863	0.034400
864	0.034700
865	0.035400
866	0.035400
867	0.034500
868	0.034200
869	0.034700
870	0.035600
871	0.034300
872	0.036500
873	0.036500
874	0.034600
875	0.035600
876	0.034400
877	0.033500
878	0.034300
879	0.036200
880	0.033900
881	0.033500
882	0.034600
883	0.037700
884	0.034000
885	0.034500
886	0.035600
887	0.036300
888	0.035900
889	0.034900
890	0.036800
891	0.033000
892	0.037200
893	0.035400
894	0.033300
895	0.033700
896	0.036200
897	0.033600
898	0.034800
899	0.034500
900	0.033200
